Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%),Area
Uttarakhand, 29-02-2020, Monthly, 4.85, 2057523.00, 37.16,Rural
Uttarakhand, 30-04-2020, Monthly, 3.66, 1972074.00, 35.04,Rural
Uttarakhand, 31-05-2020, Monthly, 3.57, 1915482.00, 33.94,Rural
Uttarakhand, 30-06-2020, Monthly, 10.71, 1675441.00, 32.00,Rural
West Bengal, 31-05-2019, Monthly, 6.02, 23452875.00, 46.41,Rural
West Bengal, 30-06-2019, Monthly, 5.85, 25543465.00, 50.36,Rural
West Bengal, 31-07-2019, Monthly, 5.62, 24857807.00, 48.78,Rural
West Bengal, 31-08-2019, Monthly, 5.58, 24924827.00, 48.79,Rural
West Bengal, 30-09-2019, Monthly, 5.26, 25610773.00, 49.87,Rural
West Bengal, 31-10-2019, Monthly, 6.78, 24353018.00, 48.09,Rural
West Bengal, 30-11-2019, Monthly, 5.83, 25630359.00, 50.00,Rural
West Bengal, 31-12-2019, Monthly, 5.79, 24906239.00, 48.47,Rural
West Bengal, 31-01-2020, Monthly, 6.79, 24612171.00, 48.30,Rural
West Bengal, 29-02-2020, Monthly, 3.78, 26093009.00, 49.51,Rural
West Bengal, 31-03-2020, Monthly, 7.02, 25097812.00, 49.18,Rural
West Bengal, 30-04-2020, Monthly, 18.32, 17639370.00, 39.27,Rural
West Bengal, 31-05-2020, Monthly, 18.43, 19115772.00, 42.53,Rural
West Bengal, 30-06-2020, Monthly, 4.94, 21225887.00, 40.44,Rural
